Incident ID,Incident Date,Incident Time,Day of Week,Month,Year,Time of Day,Daytime/Weekend/Weekday,Crime Category,Repeat Offender,Crime Location Type,Suspect Age,Suspect Sex,Suspect Descent,Arrest Made,Charge Filed,Outcome,Victim Injury,Victim Status,Time to Resolution,District,Latitude,Longitude,Crime Severity,Repeat Victim,Victim Occupation,Suspect Occupation
31,2023-01-18,23:23:17,Wednesday,January,2023,Evening,Night,Violent Crime,Yes,Commercial,35,Male,Other,Yes,Yes,Solved,None,Alive,336,South,36.222688,125.892157,Severe,No,"Doctor, general practice","Engineer, electronics"
32,2020-06-29,23:01:45,Monday,June,2020,Evening,Night,Drug Offense,No,Residential,22,Male,Indian,No,No,Closed,None,Deceased,106,West,-47.5311945,-93.051569,Moderate,Yes,"Lighting technician, broadcasting/film/video",Senior tax professional/tax inspector
33,2022-02-17,08:11:06,Thursday,February,2022,Morning,Daytime,Violent Crime,Yes,Commercial,60,Female,Other,No,No,Open,None,Deceased,32,East,70.199968,57.465536,Moderate,No,Economist,"Administrator, Civil Service"
34,2024-01-05,07:45:09,Friday,January,2024,Morning,Daytime,Cyber Crime,Yes,Commercial,19,Male,Indian,No,No,Under Investigation,Minor cuts and bruises,Deceased,322,West,20.0331415,125.540075,Minor,No,Rural practice surveyor,Insurance risk surveyor
35,2023-01-14,18:07:42,Saturday,January,2023,Evening,Night,White Collar Crime,Yes,Commercial,57,Female,Other,Yes,Yes,Solved,None,Alive,58,North,86.5275045,-45.281552,Moderate,Yes,"Designer, exhibition/display","Surveyor, mining"
36,2020-02-08,12:19:24,Saturday,February,2020,Afternoon,Daytime,Violent Crime,Yes,Commercial,53,Female,Indian,No,No,Closed,None,Deceased,359,North,-68.773792,0.343825,Minor,No,Armed forces technical officer,Sport and exercise psychologist
37,2022-05-22,09:45:54,Sunday,May,2022,Morning,Daytime,White Collar Crime,No,Residential,29,Female,Indian,No,No,Under Investigation,No visible injuries,Alive,83,North,-25.540486,78.678947,Moderate,No,Management consultant,Travel agency manager
38,2022-06-13,12:48:38,Monday,June,2022,Afternoon,Daytime,Drug Offense,Yes,Industrial,45,Female,Indian,Yes,No,Open,None,Deceased,100,North,6.422336,136.902917,Severe,Yes,Web designer,Consulting civil engineer
39,2022-08-22,05:17:47,Monday,August,2022,Morning,Daytime,Property Crime,Yes,Industrial,30,Female,Indian,Yes,Yes,Solved,Broken bones,Deceased,122,North,21.2444815,169.413232,Minor,No,Catering manager,Accommodation manager
40,2021-08-20,08:48:23,Friday,August,2021,Morning,Daytime,Property Crime,Yes,Industrial,60,Female,Other,Yes,Yes,Under Investigation,None,Alive,85,East,-0.234729,-94.057824,Minor,Yes,Film/video editor,Environmental health practitioner
41,2023-10-24,08:22:16,Tuesday,October,2023,Morning,Daytime,Drug Offense,Yes,Public,29,Female,Indian,Yes,No,Closed,None,Alive,325,Central,62.5119845,42.482741,Minor,Yes,Ambulance person,Operational investment banker
42,2023-07-23,18:43:12,Sunday,July,2023,Evening,Night,Violent Crime,Yes,Residential,24,Male,Other,No,No,Open,Head injury,Alive,48,West,87.756854,-154.885347,Minor,No,Diagnostic radiographer,Product designer
43,2020-07-17,02:52:48,Friday,July,2020,Morning,Daytime,Drug Offense,No,Commercial,21,Male,Indian,No,No,Under Investigation,None,Deceased,357,East,-47.671333,59.640230,Severe,No,"Secretary, company","Radiographer, therapeutic"
44,2020-01-01,02:49:43,Wednesday,January,2020,Morning,Daytime,Property Crime,Yes,Residential,58,Female,Indian,No,No,Closed,Severe lacerations,Deceased,335,Central,42.7635245,-5.010198,Minor,Yes,Insurance underwriter,"Psychologist, sport and exercise"
45,2020-06-03,07:06:53,Wednesday,June,2020,Morning,Daytime,Property Crime,No,Public,33,Female,Indian,Yes,Yes,Solved,Broken bones,Alive,149,West,-39.5337865,114.507014,Moderate,No,Charity officer,"Conservator, furniture"
46,2020-02-15,05:04:10,Saturday,February,2020,Morning,Daytime,Property Crime,No,Public,53,Female,Indian,Yes,Yes,Under Investigation,Gunshot wound,Deceased,280,North,22.067797,-10.253691,Moderate,No,"Accountant, chartered certified","Engineer, production"
47,2020-02-14,04:31:01,Friday,February,2020,Morning,Daytime,Cyber Crime,Yes,Public,33,Female,Other,Yes,No,Open,None,Alive,342,Central,-89.3671465,103.653586,Severe,Yes,Veterinary surgeon,Chief Technology Officer
48,2021-08-14,08:56:09,Saturday,August,2021,Morning,Daytime,Cyber Crime,No,Commercial,23,Female,Other,Yes,Yes,Solved,None,Alive,170,East,73.3052965,168.571723,Moderate,Yes,"Engineer, civil (contracting)",Immigration officer
49,2022-05-19,18:06:29,Thursday,May,2022,Evening,Night,Cyber Crime,Yes,Public,53,Male,Other,No,No,Open,Fractures,Alive,96,East,-41.0853825,-126.215901,Severe,Yes,Publishing copy,Occupational psychologist
50,2020-09-09,23:20:59,Wednesday,September,2020,Evening,Night,Cyber Crime,No,Residential,23,Female,Indian,No,No,Under Investigation,Broken bones,Deceased,95,North,-16.257066,63.190811,Minor,No,Commercial art gallery manager,Furniture conservator/restorer
51,2021-02-18,11:53:36,Thursday,February,2021,Morning,Daytime,Cyber Crime,No,Industrial,18,Male,Other,No,No,Under Investigation,Broken bones,Alive,179,North,49.8187745,169.386588,Moderate,No,"Loss adjuster, chartered",Colour technologist
52,2021-04-24,21:55:27,Saturday,April,2021,Evening,Night,White Collar Crime,No,Residential,54,Male,Indian,Yes,Yes,Under Investigation,None,Alive,305,Central,-85.013992,-157.291646,Severe,Yes,Architect,"Engineer, land"
53,2022-03-17,00:10:18,Thursday,March,2022,Morning,Daytime,White Collar Crime,Yes,Industrial,47,Female,Other,No,No,Solved,None,Alive,99,South,-5.5198105,16.974605,Minor,Yes,Tax inspector,Archivist
54,2024-03-16,17:53:23,Saturday,March,2024,Afternoon,Daytime,Cyber Crime,No,Industrial,60,Male,Other,No,No,Solved,None,Alive,202,West,82.9109405,66.243554,Moderate,No,"Presenter, broadcasting",Microbiologist
55,2024-07-29,09:07:28,Monday,July,2024,Morning,Daytime,Cyber Crime,Yes,Industrial,18,Female,Indian,No,No,Open,Minor cuts and bruises,Deceased,44,West,-34.2072725,21.637397,Moderate,Yes,Theatre manager,"Horticulturist, amenity"
56,2020-01-28,08:47:18,Tuesday,January,2020,Morning,Daytime,White Collar Crime,Yes,Residential,41,Female,Indian,No,No,Open,Minor cuts and bruises,Deceased,188,East,-49.460026,-34.307498,Severe,Yes,"Lecturer, further education",Leisure centre manager
57,2023-02-14,09:36:14,Tuesday,February,2023,Morning,Daytime,Property Crime,No,Commercial,20,Male,Other,No,No,Under Investigation,None,Alive,99,East,-64.845581,1.599791,Moderate,No,Web designer,Animal technologist
58,2020-05-08,11:52:27,Friday,May,2020,Morning,Daytime,Property Crime,No,Commercial,53,Female,Indian,Yes,No,Solved,None,Deceased,223,West,-46.014020,-99.782877,Moderate,No,Television production assistant,Horticultural consultant
59,2023-01-26,14:35:23,Thursday,January,2023,Afternoon,Daytime,Property Crime,Yes,Industrial,21,Male,Indian,No,No,Open,Broken bones,Alive,83,East,57.2326325,-110.399551,Minor,Yes,Hospital doctor,Colour technologist
60,2024-01-25,05:11:17,Thursday,January,2024,Morning,Daytime,Property Crime,No,Residential,64,Female,Other,No,No,Solved,No visible injuries,Deceased,228,Central,-25.6543885,-154.092563,Moderate,No,Insurance account manager,Editorial assistant
61,2024-06-13,23:04:14,Thursday,June,2024,Evening,Night,Drug Offense,No,Commercial,38,Female,Other,Yes,Yes,Closed,None,Alive,210,East,-70.977890,-17.504928,Severe,Yes,Operational researcher,Land/geomatics surveyor
62,2022-07-18,23:04:32,Monday,July,2022,Evening,Night,Property Crime,Yes,Industrial,45,Male,Other,Yes,Yes,Under Investigation,Broken bones,Deceased,271,East,-60.8341075,-126.634852,Severe,No,"Surveyor, mining",Quarry manager
63,2024-01-12,04:22:28,Friday,January,2024,Morning,Daytime,Drug Offense,No,Residential,59,Male,Indian,No,No,Open,No visible injuries,Deceased,59,South,2.2482735,-113.253630,Minor,No,Quality manager,Commercial art gallery manager
64,2024-03-26,14:13:57,Tuesday,March,2024,Afternoon,Daytime,Drug Offense,No,Industrial,19,Female,Other,No,No,Closed,Fractures,Alive,37,North,-79.846595,-17.916997,Moderate,No,Legal executive,"Designer, furniture"
65,2021-06-01,18:11:28,Tuesday,June,2021,Evening,Night,Cyber Crime,Yes,Industrial,28,Female,Other,No,No,Open,Broken bones,Alive,87,North,61.5284295,21.633331,Minor,No,Chartered loss adjuster,Brewing technologist
66,2020-09-20,07:37:45,Sunday,September,2020,Morning,Daytime,Property Crime,No,Residential,61,Female,Other,Yes,No,Closed,None,Alive,361,South,-30.660001,-147.167040,Moderate,No,Musician,Actuary
67,2020-10-31,03:35:37,Saturday,October,2020,Morning,Daytime,Drug Offense,No,Residential,29,Female,Indian,No,No,Solved,None,Deceased,259,East,59.377515,98.638004,Minor,Yes,Horticultural consultant,"Production assistant, radio"
68,2024-02-27,00:34:04,Tuesday,February,2024,Morning,Daytime,Violent Crime,Yes,Commercial,34,Female,Indian,Yes,Yes,Open,None,Alive,33,North,67.0048645,-63.362892,Moderate,No,Pharmacologist,Charity officer
69,2023-02-18,13:20:49,Saturday,February,2023,Afternoon,Daytime,Violent Crime,No,Commercial,18,Female,Indian,Yes,Yes,Under Investigation,None,Alive,295,East,-19.9607505,134.191882,Severe,No,Dietitian,Plant breeder/geneticist
70,2021-08-19,01:44:21,Thursday,August,2021,Morning,Daytime,Drug Offense,Yes,Commercial,37,Male,Other,No,No,Open,Gunshot wound,Alive,175,South,-59.126594,-145.716527,Severe,Yes,Air broker,Secondary school teacher
71,2023-11-04,22:59:19,Saturday,November,2023,Evening,Night,Property Crime,Yes,Industrial,60,Male,Indian,Yes,No,Solved,None,Alive,185,West,-35.859812,-116.160525,Minor,Yes,Research scientist (medical),Occupational therapist
72,2022-03-07,18:41:10,Monday,March,2022,Evening,Night,White Collar Crime,No,Industrial,58,Female,Other,Yes,No,Closed,None,Deceased,78,Central,82.0663955,-157.396970,Moderate,Yes,"Engineer, technical sales",Youth worker
73,2021-03-30,14:02:31,Tuesday,March,2021,Afternoon,Daytime,Drug Offense,Yes,Industrial,48,Male,Other,No,No,Solved,Severe lacerations,Alive,281,East,-36.857822,66.105944,Severe,Yes,Multimedia specialist,Medical illustrator
74,2021-04-15,11:35:21,Thursday,April,2021,Morning,Daytime,Drug Offense,No,Commercial,20,Female,Other,Yes,Yes,Under Investigation,Head injury,Deceased,4,North,70.052083,81.940073,Moderate,Yes,Data scientist,"Surveyor, rural practice"
75,2023-06-15,14:41:04,Thursday,June,2023,Afternoon,Daytime,Violent Crime,Yes,Residential,48,Male,Indian,No,No,Open,Internal injuries,Deceased,227,South,23.612321,99.832498,Minor,No,Research scientist (life sciences),IT trainer
76,2024-03-28,22:16:37,Thursday,March,2024,Evening,Night,Cyber Crime,Yes,Public,61,Female,Indian,No,No,Solved,None,Alive,270,West,80.4739075,179.740096,Moderate,No,"Engineer, drilling",Special effects artist
77,2021-11-10,05:03:27,Wednesday,November,2021,Morning,Daytime,Violent Crime,Yes,Industrial,58,Female,Indian,Yes,Yes,Closed,Internal injuries,Alive,329,South,1.327194,-9.135766,Minor,Yes,IT technical support officer,Animal technologist
78,2024-06-19,16:17:34,Wednesday,June,2024,Afternoon,Daytime,Property Crime,Yes,Residential,37,Female,Indian,No,No,Closed,Fractures,Deceased,96,West,-21.0437865,143.511279,Minor,Yes,"Designer, furniture",Museum education officer
79,2022-07-03,06:12:54,Sunday,July,2022,Morning,Daytime,Cyber Crime,Yes,Public,26,Female,Indian,No,No,Closed,None,Alive,249,West,36.2804625,-144.373713,Moderate,No,Chartered accountant,"Scientist, clinical (histocompatibility and immunogenetics)"
80,2020-05-02,06:06:47,Saturday,May,2020,Morning,Daytime,Cyber Crime,No,Residential,21,Female,Other,No,No,Open,None,Alive,318,West,-29.5776875,-109.941488,Moderate,Yes,Architect,Hydrologist
81,2020-02-17,12:43:23,Monday,February,2020,Afternoon,Daytime,Cyber Crime,No,Industrial,32,Male,Indian,No,No,Open,None,Deceased,353,South,30.417218,-2.513504,Severe,No,"Designer, multimedia",Database administrator
82,2023-12-02,06:07:12,Saturday,December,2023,Morning,Daytime,Cyber Crime,No,Commercial,22,Male,Other,Yes,Yes,Under Investigation,Head injury,Deceased,238,North,45.559823,25.209543,Severe,Yes,Senior tax professional/tax inspector,Retail buyer
83,2020-04-14,16:16:04,Tuesday,April,2020,Afternoon,Daytime,White Collar Crime,Yes,Public,29,Female,Other,No,No,Under Investigation,None,Deceased,87,Central,-65.6671615,98.098248,Moderate,Yes,Tourism officer,Camera operator
84,2023-08-17,03:19:56,Thursday,August,2023,Morning,Daytime,Violent Crime,Yes,Residential,31,Female,Indian,No,No,Open,None,Deceased,110,Central,-34.6741555,-24.487749,Minor,Yes,Social worker,"Therapist, sports"
85,2023-07-22,11:35:33,Saturday,July,2023,Morning,Daytime,White Collar Crime,No,Public,29,Male,Indian,Yes,Yes,Closed,No visible injuries,Deceased,185,West,14.305667,146.111451,Moderate,No,Theatre director,Facilities manager
86,2020-03-04,10:32:53,Wednesday,March,2020,Morning,Daytime,Drug Offense,Yes,Industrial,34,Female,Other,No,No,Under Investigation,Gunshot wound,Alive,153,North,-89.9353885,-82.306179,Severe,Yes,Immigration officer,"Runner, broadcasting/film/video"
87,2022-03-01,22:49:09,Tuesday,March,2022,Evening,Night,White Collar Crime,No,Public,47,Female,Indian,No,No,Closed,Internal injuries,Alive,150,South,-72.385039,84.951175,Severe,No,Garment/textile technologist,Immunologist
88,2023-06-21,08:12:09,Wednesday,June,2023,Morning,Daytime,Cyber Crime,Yes,Commercial,64,Male,Other,Yes,No,Solved,Stab wound,Alive,26,West,12.993162,-146.575081,Severe,Yes,"Development worker, community",Conference centre manager
89,2022-01-12,14:51:57,Wednesday,January,2022,Afternoon,Daytime,Property Crime,Yes,Industrial,34,Male,Other,No,No,Under Investigation,None,Deceased,118,East,-0.3359405,-150.189148,Severe,No,Animal technologist,Quarry manager
90,2023-07-22,05:02:06,Saturday,July,2023,Morning,Daytime,Violent Crime,No,Residential,37,Female,Indian,No,No,Closed,None,Deceased,162,West,42.024867,143.178413,Severe,No,Ceramics designer,"Designer, blown glass/stained glass"
91,2023-01-01,22:40:51,Sunday,January,2023,Evening,Night,Violent Crime,No,Public,58,Male,Other,No,No,Open,None,Deceased,229,Central,-80.5564975,148.441982,Minor,Yes,"Psychologist, prison and probation services",Nature conservation officer
92,2023-11-26,00:13:39,Sunday,November,2023,Morning,Daytime,Violent Crime,No,Public,24,Male,Indian,Yes,Yes,Solved,Internal injuries,Alive,288,East,-62.7590335,72.806718,Moderate,Yes,"Designer, blown glass/stained glass",Advertising account planner
93,2020-04-10,20:00:16,Friday,April,2020,Evening,Night,Drug Offense,No,Commercial,31,Male,Other,No,No,Open,Head injury,Alive,328,West,75.7321655,-108.756182,Severe,Yes,Jewellery designer,Civil Service fast streamer
94,2022-12-13,02:17:36,Tuesday,December,2022,Morning,Daytime,White Collar Crime,Yes,Industrial,42,Male,Other,Yes,Yes,Closed,None,Alive,80,East,12.9219315,83.238372,Moderate,No,Clinical psychologist,Best boy
95,2023-12-22,06:37:19,Friday,December,2023,Morning,Daytime,Drug Offense,No,Commercial,59,Female,Indian,Yes,Yes,Closed,Internal injuries,Alive,275,South,79.735130,1.390092,Severe,No,Company secretary,Wellsite geologist
96,2022-07-09,22:13:54,Saturday,July,2022,Evening,Night,White Collar Crime,Yes,Industrial,58,Male,Other,Yes,Yes,Open,No visible injuries,Deceased,208,North,-55.8794045,28.115695,Minor,Yes,Hospital doctor,Community development worker
97,2024-05-31,10:31:37,Friday,May,2024,Morning,Daytime,Cyber Crime,No,Industrial,29,Female,Other,No,No,Open,Internal injuries,Alive,167,South,-39.231481,-159.499902,Severe,Yes,"Nurse, children's","Producer, television/film/video"
98,2023-02-28,19:09:22,Tuesday,February,2023,Evening,Night,Violent Crime,No,Commercial,47,Male,Other,Yes,Yes,Solved,Head injury,Deceased,130,North,-38.869070,64.528721,Moderate,Yes,Marketing executive,Call centre manager
99,2020-05-18,17:24:07,Monday,May,2020,Afternoon,Daytime,Cyber Crime,No,Public,49,Female,Other,No,No,Closed,Stab wound,Deceased,301,South,40.503951,-42.890510,Moderate,Yes,Aid worker,"Scientist, product/process development"
100,2021-11-02,02:41:05,Tuesday,November,2021,Morning,Daytime,Drug Offense,Yes,Residential,42,Male,Other,Yes,Yes,Open,None,Deceased,25,Central,-64.907669,156.847709,Severe,No,Retail buyer,"Scientist, research (physical sciences)"
101,2023-07-29,04:56:35,Saturday,July,2023,Morning,Daytime,Cyber Crime,Yes,Residential,21,Female,Other,Yes,Yes,Open,Internal injuries,Deceased,260,North,-8.043545,-119.094734,Moderate,Yes,Dancer,Physiological scientist
102,2023-08-04,15:04:23,Friday,August,2023,Afternoon,Daytime,Property Crime,No,Residential,60,Male,Other,No,No,Closed,Head injury,Alive,205,South,-61.8774615,43.145668,Severe,Yes,Biomedical scientist,Child psychotherapist
103,2023-07-13,08:51:27,Thursday,July,2023,Morning,Daytime,White Collar Crime,No,Residential,56,Female,Other,Yes,Yes,Under Investigation,None,Alive,292,South,-48.0819335,-163.517610,Moderate,Yes,Product manager,Plant breeder/geneticist
104,2023-07-19,23:46:15,Wednesday,July,2023,Evening,Night,Property Crime,No,Industrial,40,Female,Indian,No,No,Open,Minor cuts and bruises,Deceased,190,South,43.311697,-5.785857,Minor,Yes,Forensic psychologist,Careers information officer
105,2022-12-31,01:09:41,Saturday,December,2022,Morning,Daytime,Violent Crime,No,Residential,23,Male,Indian,Yes,Yes,Closed,Gunshot wound,Alive,216,West,-57.4178415,12.872654,Moderate,No,Air traffic controller,Location manager
106,2022-12-16,22:03:12,Friday,December,2022,Evening,Night,Property Crime,Yes,Public,61,Male,Other,Yes,Yes,Under Investigation,Gunshot wound,Deceased,33,South,-87.3252455,-56.254727,Moderate,No,Medical secretary,Building services engineer
107,2021-03-21,07:44:03,Sunday,March,2021,Morning,Daytime,Property Crime,No,Commercial,29,Female,Other,Yes,No,Under Investigation,None,Alive,105,Central,-89.1323895,-70.053777,Severe,No,Community pharmacist,Actor
108,2022-06-30,18:42:38,Thursday,June,2022,Evening,Night,Property Crime,No,Residential,38,Female,Other,Yes,Yes,Open,Gunshot wound,Alive,139,West,-83.3830635,144.725425,Severe,No,"Exhibitions officer, museum/gallery",Curator
109,2021-08-03,10:13:34,Tuesday,August,2021,Morning,Daytime,Cyber Crime,Yes,Industrial,61,Female,Indian,Yes,Yes,Solved,Fractures,Alive,126,East,-59.830262,75.923093,Moderate,Yes,Local government officer,Further education lecturer
110,2021-02-08,08:36:53,Monday,February,2021,Morning,Daytime,Drug Offense,No,Residential,46,Male,Other,Yes,Yes,Under Investigation,None,Deceased,112,North,-34.1331785,14.476048,Moderate,No,Legal executive,Public librarian
111,2022-06-28,17:39:24,Tuesday,June,2022,Afternoon,Daytime,Violent Crime,No,Public,58,Female,Indian,No,No,Closed,Broken bones,Deceased,259,South,58.4997075,161.404647,Minor,No,"Journalist, newspaper",Educational psychologist
112,2020-09-08,15:36:52,Tuesday,September,2020,Afternoon,Daytime,White Collar Crime,No,Industrial,45,Male,Indian,No,No,Closed,Head injury,Alive,218,South,53.137268,131.841139,Minor,Yes,Insurance account manager,"Designer, graphic"
113,2023-03-16,21:16:48,Thursday,March,2023,Evening,Night,White Collar Crime,Yes,Industrial,41,Female,Other,No,No,Open,None,Deceased,310,South,-56.382219,-60.375806,Moderate,No,Interpreter,Rural practice surveyor
114,2022-01-24,03:30:49,Monday,January,2022,Morning,Daytime,White Collar Crime,Yes,Industrial,64,Female,Indian,No,No,Under Investigation,None,Deceased,149,Central,-40.622795,-23.738611,Moderate,No,Microbiologist,Personnel officer
115,2020-05-23,16:32:22,Saturday,May,2020,Afternoon,Daytime,Cyber Crime,Yes,Commercial,47,Male,Indian,Yes,Yes,Closed,Fractures,Alive,68,West,71.3856025,-168.967506,Minor,Yes,"Nurse, mental health",Careers adviser
116,2020-08-15,09:09:45,Saturday,August,2020,Morning,Daytime,Violent Crime,Yes,Public,53,Female,Other,Yes,Yes,Under Investigation,None,Deceased,296,South,22.8050885,-19.268011,Minor,Yes,Statistician,Pension scheme manager
